"","supplier","SICCode.SicText_1"
"1","ACTION FOR BLIND PEOPLE","88990 - Other social work activities without accommodation n.e.c."
"6","BROTHER UK LTD","46499 - Wholesale of household goods (other than musical instruments) n.e.c."
"7","LIVERPOOL FOOTBALL CLUB & ATHLETIC GROUNDS","93110 - Operation of sports facilities"
"9","B BRAUN STERILOG (YORKSHIRE) LTD","86900 - Other human health activities"
"11","STROKE ASSOCIATION","86900 - Other human health activities"
"83","STROKE ASSOCIATION (THE)","86900 - Other human health activities"
"223","BARNARDOS","88990 - Other social work activities without accommodation n.e.c."
"243","AURORA GROUP (THE)","74990 - Non-trading company"
"247","ROCHE PRODUCTS LTD","46460 - Wholesale of pharmaceutical goods"
"313","NOVARTIS PHARMACEUTICALS UK LTD","21100 - Manufacture of basic pharmaceutical products"
"316","FRIENDS OF THE ELDERLY","87100 - Residential nursing care facilities"
"324","PAPWORTH TRUST","41202 - Construction of domestic buildings"
"336","ROYAL BRITISH LEGION INDUSTRIES LTD","16290 - Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
"352","BLATCHFORD LTD","32990 - Other manufacturing n.e.c."
"356","HUGH STEEPER LTD","32500 - Manufacture of medical and dental instruments and supplies"
"380","STANLEY SECURITY SOLUTIONS","43290 - Other construction installation"
"383","LIVERPOOL CHARITY & VOLUNTARY SERVICES","82990 - Other business support service activities n.e.c."
"384","NACRO","68201 - Renting and operating of Housing Association real estate"
"386","VOLUNTARY ACTION SHEFFIELD","94990 - Activities of other membership organizations n.e.c."
"387","SERCO LTD","70100 - Activities of head offices"
"613","GE MEDICAL SYSTEMS LTD","46900 - Non-specialised wholesale trade"
"617","NUTRICIA LTD","56290 - Other food services"
"889","EYHURST COURT LTD","87100 - Residential nursing care facilities"
"892","TOGETHER TRUST","85600 - Educational support services"
"919","BOC LTD","20110 - Manufacture of industrial gases"
"1046","PARKHAVEN TRUST","87300 - Residential care activities for the elderly and disabled"
"1047","SCRIVENS LTD","47741 - Retail sale of hearing aids"
"1126","BOOK TOKENS LTD","94110 - Activities of business and employers membership organizations"
"1127","NUFFIELD TRUST","72200 - Research and experimental development on social sciences and humanities"
"1129","PORTLAND COLLEGE","85590 - Other education n.e.c."
"1142","SUNFIELD CHILDRENS HOMES LTD","85590 - Other education n.e.c."
"1144","PA CONSULTING SERVICES LTD","70229 - Management consultancy activities other than financial management"
"1235","MIND","88990 - Other social work activities without accommodation n.e.c."
"1238","PHILIPS ELECTRONICS UK LTD","22290 - Manufacture of other plastic products"
"1244","ACTION ON HEARING LOSS","47910 - Retail sale via mail order houses or via Internet"
"1296","LOBSWOOD HOUSE","74990 - Non-trading company"
"1297","BROOK STREET (UK) LTD","78200 - Temporary employment agency activities"
"1299","BAXTER HEALTHCARE LTD","21100 - Manufacture of basic pharmaceutical products"
"1301","TOGETHER FOR MENTAL WELLBEING","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"1302","TOGETHER WORKING FOR WELLBEING","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"1319","TOGETHER","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
