"","ccg19cd","year","Total_Procurement_Spend","Social_Care_Procurement_Spend","Hospital_Services_Procurement_Spend","GP_Services_Procurement_Spend","Other_Health_Services_Procurement_Spend","Private_Sector_Procurement_Spend","Charity_Sector_Procurement_Spend","Health_Services_Procurement_Spend","Building_Maintenance_Procurement_Spend","Specialist_Services_Procurement_Spend","NotAssigned_Procurement_Spend","Foundational_Services_Procurement_Spend","Professional_Services_Spend","Dental_Services_Procurement_Spend","Medical_Nursing_Homes_Procurement_Spend","nogpPrivate_Sector_Procurement_Spend","NOGPTotal_Procurement_Spend","nogpHealth_Services_Procurement_Spend","Food_Procurement_Spend","Transport_Procurement_Spend","Management_Procurement_Spend","Total_Private_sector_spend","Total_Management_Procurement_Spend","lag_check_private","Avoidable_Mortality_Rate","Treatable_Mortality_Rate","Preventatable_Mortality_Rate","RGN19CD","RGN19NM","id","Unemployment_percent","Qual_lvl4_percent","BAME_percent","Est_Population","Local_Authority_Expenditure","Claimant_percent","GDHI_per_person","Local_Authority_Spend_per_pop","CCGpop","Total_Rural_population_2011","Total_Urban_population_2011","RUC11CD","RUC11","Broad_RUC11","OBJECTID","total_spend_10millions","Lagged_Private_Procurement","Lagged_Total_Spend","Lagged_Treatable_Mortality_Rate","Lagged_Local_Authority_Spend_per_pop","Lagged_Claimant_percent","Lagged_CCGpop","Lagged_Unemployment_percent","Lagged_BAME_percent","Lagged_Qual_lvl4_percent","Lagged_GDHI_per_person","dept","number_of_doctors","Treatable_Mortality_2013","Private_Sector_Procurement_Spendten","Lagged_Private_Procurementten","Preventable_Mortality_Rate_FD","Treatable_Mortality_Rate_FD","Private_Sector_Procurement_Spendten_FD","Private_Sector_Procurement_Spend_FD","Local_Authority_Spend_per_pop_FD","Claimant_percent_FD","CCGpop_FD","Unemployment_percent_FD","BAME_percent_FD","Qual_lvl4_percent_FD","total_spend_10millions_FD","GDHI_FD","Private_Sector_Procurement_Spendten_FD_lagged","Local_Authority_Spend_per_pop_FD_lagged","total_spend_10millions_FD_lagged","GDHI_FD_lagged","Private_Sector_Procurement_Spend_FD_lagged","lagged_tot_prive"
"NHS_ASH_CCG-2010","E38000002","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.5,101.7,NA,"E12000008","South East",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHS_ASH_CCG",91,65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHS_ASH_CCG-2011","E38000002","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.9,86.6,121.4,"E12000008","South East",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,NA,NA,NA,101.7,NA,NA,NA,NA,NA,NA,NA,"NHS_ASH_CCG",91,65.7,NA,NA,NA,-0.160727487486125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHS_ASH_CCG-2012","E38000002","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,78.3,110.7,"E12000008","South East",2,5.4,29.1,4.2,120128,33010,2.6,17968,0.274790223761321,120128,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,NA,NA,NA,86.6,NA,NA,NA,NA,NA,NA,NA,"NHS_ASH_CCG",91,65.7,NA,NA,-0.0922670389108067,-0.100752212571631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHS_ASH_CCG-2013","E38000002","2013",81049079,0,1.91714331510171,0,1.19177541795385,3.60100082074961,1.75535739277185,3.73882101732458,0.379017261874129,0,0,0,0.0348986075461758,0,0.629902284269017,4.54892892737251,81049079,3.73882101732458,0,0,0,2918578,0,NA,198.8,65.7,133,"E12000008","South East",2,6.4,26.2,7.5,121684,36673,2,18663,0.301378981624536,121684,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,8.1049079,NA,NA,78.3,0.274790223761321,2.6,120128,5.4,4.2,29.1,17968,"NHS_ASH_CCG",91,65.7,0.360100082074961,NA,0.183525288507163,-0.175448677506193,NA,NA,0.0265887578632144,-0.6,0.0128696795564807,1,3.3,-2.9,NA,0.0379505562049065,NA,NA,NA,NA,NA,NA
"NHS_ASH_CCG-2014","E38000002","2014",91027932,0.0872424521299682,2.49427175825548,0.0754713399399208,1.84151937012037,5.38437476531929,2.3796124468696,5.80564765549106,0.315070323689217,0,0,0,0,0,1.39438518717529,6.25745388879273,90959232,5.73450422272695,0,0,0,4901285,0,3.60100082074961,200.2,78.2,122,"E12000008","South East",2,4.1,35,8.3,123159,36673,1.3,19159,0.297769549931389,123159,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,9.1027932,3.60100082074961,8.1049079,65.7,0.301378981624536,2,121684,6.4,7.5,26.2,18663,"NHS_ASH_CCG",91,65.7,0.538437476531929,0.360100082074961,-0.086328083488497,0.1741707220607,0.178337394456968,1.78337394456968,-0.0036094316931462,-0.7,0.0120486829834867,-2.3,0.800000000000001,8.8,0.9978853,0.0262296249128617,NA,0.0265887578632144,NA,0.0379505562049065,NA,0.00000081049079
"NHS_ASH_CCG-2015","E38000002","2015",111002793,0.278283087885906,2.58329355730716,0.124499570024333,1.5065170477287,4.2337529290817,2.75368206275675,5.13598608280064,0.134454274497399,0,0,0,0.219526007782525,0,0.921675907740447,5.85524260472877,110864595,5.01773356949529,0,0,0.0450925590674101,4699584,50054,5.38437476531929,188.6,68,120.6,"E12000008","South East",2,5.4,32.9,7.7,124047,35856,1.3,19789,0.289051730392513,124047,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,11.1002793,5.38437476531929,9.1027932,78.2,0.297769549931389,1.3,123159,4.1,8.3,35,19159,"NHS_ASH_CCG",91,65.7,0.42337529290817,0.538437476531929,-0.0115417604401715,-0.139761942375158,-0.115062183623758,-1.15062183623758,-0.00871781953887696,0,0.00718432254451074,1.3,-0.600000000000001,-2.1,1.9974861,0.0323536486529115,0.178337394456968,-0.0036094316931462,0.9978853,0.0262296249128617,1.78337394456968,0.00000091027932
"NHS_ASH_CCG-2016","E38000002","2016",142921334,0.18666352498501,2.2440785502324,0.413262305542152,1.45277261405914,3.21101326971941,2.43859604612982,4.36516286644792,0.160115354087025,0,0.462472593489786,0,0.148025486523936,0,0.255049396614224,5.38218622049296,142330694,3.96830004917983,0,0,0.0777770518150915,4589223,111160,4.2337529290817,182.7,69,113.7,"E12000008","South East",2,5.8,29.1,6.2,125871,38588,1.5,20095,0.306567835323466,125871,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,14.2921334,4.2337529290817,11.1002793,68,0.289051730392513,1.3,124047,5.4,7.7,32.9,19789,"NHS_ASH_CCG",91,65.7,0.321101326971941,0.42337529290817,-0.0589158835365948,0.0145987994211527,-0.102273965936229,-1.02273965936229,0.0175161049309536,0.2,0.014597046928186,0.399999999999999,-1.5,-3.8,3.1918541,0.0153448001343985,-0.115062183623758,-0.00871781953887696,1.9974861,0.0323536486529115,-1.15062183623758,0.00000111002793
"NHS_ASH_CCG-2017","E38000002","2017",137395176,0.608022074952617,2.50459885141819,1.17507036782718,1.03600944475663,4.54628407041016,2.70092233805938,4.91031140714868,0.0960477680817556,0,0.639615615034403,0,0.878787039801164,0,0.194632743146674,7.33337876934868,135780686,3.77965464101426,0,0,0,6246375,0,3.21101326971941,183.7,71.9,111.8,"E12000008","South East",2,NA,24.5,6.5,127527,40208,1.7,20729,0.315290095430772,127527,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,13.7395176,3.21101326971941,14.2921334,69,0.306567835323466,1.5,125871,5.8,6.2,29.1,20095,"NHS_ASH_CCG",91,65.7,0.454628407041016,0.321101326971941,-0.0168518400354918,0.0411697601297414,0.133527080069075,1.33527080069075,0.00872226010730542,0.2,0.0130705339086745,NaN,0.3,-4.6,-0.552615800000002,0.031062658116209,-0.102273965936229,0.0175161049309536,3.1918541,0.0153448001343985,-1.02273965936229,0.00000142921334
"NHS_ASH_CCG-2018","E38000002","2018",146363238,0.480044039473901,2.54518487763983,1.44690704369358,2.00937888515421,6.43430012118207,1.65772637525278,6.06147084556847,0.0234396290139468,0,0.46934121531255,0,1.02835180511653,0,0.0600000390808517,8.21082956779698,144245498,4.68231251141023,0,0,0.332134630691895,9417450,486123,4.54628407041016,198.2,71.7,126.5,"E12000008","South East",2,4.2,28.9,6.7,129281,44409,2.2,21444,0.343507553314099,129281,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,14.6363238,4.54628407041016,13.7395176,71.9,0.315290095430772,1.7,127527,NA,6.5,24.5,20729,"NHS_ASH_CCG",91,65.7,0.643430012118207,0.454628407041016,0.123530747446576,-0.00278551712142594,0.188801605077191,1.88801605077191,0.0282174578833272,0.5,0.013660223006001,NaN,0.2,4.4,0.8968062,0.0339111999479176,0.133527080069075,0.00872226010730542,-0.552615800000002,0.031062658116209,1.33527080069075,0.00000137395176
"NHS_ASH_CCG-2019","E38000002","2019",150552534,0.652600772564878,0.502048673587918,1.32867242207959,2.11006810420076,5.30472240341036,1.03294109948359,3.96342448809264,0.0147038375322198,0,0.492965465463371,0,1.15423098757009,0,0.0226352882243749,6.42300418821173,148552184,2.67023068472692,0,0,0.352726710000112,7986394,531039,6.43430012118207,NA,NA,NA,"E12000008","South East",2,5.7,39.5,3.3,130032,48087,2.7,NA,0.369808970099668,130032,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,15.0552534,6.43430012118207,14.6363238,71.7,0.343507553314099,2.2,129281,4.2,6.7,28.9,21444,"NHS_ASH_CCG",91,65.7,0.530472240341036,0.643430012118207,NA,NA,-0.112957771777171,-1.12957771777171,0.026301416785569,0.5,0.00579224411946555,1.5,-3.4,10.6,0.4189296,NaN,0.188801605077191,0.0282174578833272,0.8968062,0.0339111999479176,1.88801605077191,0.00000146363238
"NHS_ASH_CCG-2020","E38000002","2020",31655278,0.594052593693854,0,1.16894250620702,0.819114588094914,3.7230031592204,0.321731497666835,1.98805709430194,0,0,0.351859174953384,0,0.947759801698788,0,0,4.09257449981375,31285246,0.828802816509738,0,0,0.335811298198045,1178527,106302,5.30472240341036,NA,NA,NA,"E12000008","South East",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,3.1655278,5.30472240341036,15.0552534,NA,0.369808970099668,2.7,130032,5.7,3.3,39.5,NA,"NHS_ASH_CCG",91,65.7,0.37230031592204,0.530472240341036,NA,NA,-0.158171924418996,-1.58171924418996,NA,NA,NA,NA,NA,NA,-11.8897256,NA,-0.112957771777171,0.026301416785569,0.4189296,NaN,-1.12957771777171,0.00000150552534
"NHS_ASH_CCG-2021","E38000002","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7230031592204,NA,NA,NA,"E12000008","South East",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,NA,3.7230031592204,3.1655278,NA,NA,NA,NA,NA,NA,NA,NA,"NHS_ASH_CCG",91,65.7,NA,0.37230031592204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.158171924418996,NA,-11.8897256,NA,-1.58171924418996,0.00000031655278
"NHS_AWC_CCG-2010","E38000001","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.5,72.7,NA,"E12000003","Yorkshire and The Humber",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHS_AWC_CCG",156,75.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHS_AWC_CCG-2011","E38000001","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.4,85.1,136.3,"E12000003","Yorkshire and The Humber",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,NA,NA,NA,72.7,NA,NA,NA,NA,NA,NA,NA,"NHS_AWC_CCG",156,75.6,NA,NA,NA,0.157485651039855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHS_AWC_CCG-2012","E38000001","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.2,79.1,122.1,"E12000003","Yorkshire and The Humber",1,10.5,34.35,22.3,289939,536868,3.95,16082,1.17025174269167,158242,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,NA,NA,NA,85.1,NA,NA,NA,NA,NA,NA,NA,"NHS_AWC_CCG",156,75.6,NA,NA,-0.110017957585828,-0.0731141608057202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
