"","CompanyNumber","SICCode.SicText_1"
"1","00026688","88990 - Other social work activities without accommodation n.e.c."
"6","00029301","46499 - Wholesale of household goods (other than musical instruments) n.e.c."
"7","00035668","93110 - Operation of sports facilities"
"9","00036822","86900 - Other human health activities"
"11","00061274","86900 - Other human health activities"
"223","00061625","88990 - Other social work activities without accommodation n.e.c."
"243","00086849","74990 - Non-trading company"
"247","00100674","46460 - Wholesale of pharmaceutical goods"
"313","00119006","21100 - Manufacture of basic pharmaceutical products"
"316","00133850","87100 - Residential nursing care facilities"
"324","00148906","41202 - Construction of domestic buildings"
"336","00158479","16290 - Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
"352","00162114","32990 - Other manufacturing n.e.c."
"356","00173865","32500 - Manufacture of medical and dental instruments and supplies"
"380","00181585","43290 - Other construction installation"
"383","00181759","82990 - Other business support service activities n.e.c."
"384","00203583","68201 - Renting and operating of Housing Association real estate"
"386","00215695","94990 - Activities of other membership organizations n.e.c."
"387","00242246","70100 - Activities of head offices"
"613","00252567","46900 - Non-specialised wholesale trade"
"617","00275552","56290 - Other food services"
"889","00279010","87100 - Residential nursing care facilities"
"892","00301722","85600 - Educational support services"
"919","00337663","20110 - Manufacture of industrial gases"
"1046","00361505","87300 - Residential care activities for the elderly and disabled"
"1047","00377588","47741 - Retail sale of hearing aids"
"1126","00379411","94110 - Activities of business and employers membership organizations"
"1127","00382452","72200 - Research and experimental development on social sciences and humanities"
"1129","00408340","85590 - Other education n.e.c."
"1142","00413810","85590 - Other education n.e.c."
"1144","00414220","70229 - Management consultancy activities other than financial management"
"1235","00424348","88990 - Other social work activities without accommodation n.e.c."
"1238","00446897","22290 - Manufacture of other plastic products"
"1244","00454169","47910 - Retail sale via mail order houses or via Internet"
"1296","00456466","74990 - Non-trading company"
"1297","00459637","78200 - Temporary employment agency activities"
"1299","00461365","21100 - Manufacture of basic pharmaceutical products"
"1301","00463505","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"1378","00469301","47749 - Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c."
"1447","00488182","79110 - Travel agency activities"
